,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
Acss1,Acss1,68738,"1110032O15Rik, AI788978, Acas2, Acas2l, AceCS2",acyl-CoA synthetase short-chain family member 1,,2_150618111_150668240,14, 0.96 ,1,-1.04,16.78573554,-0.127552335,0.397075335,-0.32122956,0.7480,0.99974,1,-1.09, 13.9 , 10.1 , 13.8 , 14.8 , 20.9 , 25.1 , 33.1 , 15.2 , 15.6 , 17.6 , 13.7 , 7.6 ,,,,,,,,
A130022J15Rik,A130022J15Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.66 ,2,-1.52,1.48243416,-0.410969459,1.279381209,-0.32122518,0.7480,0.99974,1,-1.33, 3.5 , -   , -   , 0.6 , 1.2 , 1.8 , 1.9 , -   , 7.8 , 1.0 , -   , -   ,,,,,,,,
Gpaa1,Gpaa1,14731,"C80044, mGAA1",GPI anchor attachment protein 1,,15_76331294_76334900,12, 0.78 ,1,-1.28,2.061081094,-0.320166758,0.997398635,-0.321001801,0.7482,0.99974,1,-1.25, 0.9 , -   , 1.1 , 1.8 , 7.0 , -   , 3.6 , 4.9 , 3.1 , -   , 0.8 , 1.5 ,,,,,,,,
Fam55d,Fam55d,0,#N/A,#N/A,,#N/A,#N/A, 1.16 ,1,1.16,18.20577153,0.194388712,0.606035006,0.320754923,0.7484,0.99974,1,1.14, 11.3 , 10.1 , 31.0 , 11.1 , 23.3 , 30.5 , 37.6 , 11.5 , 42.1 , 3.1 , 6.9 , -   ,,,,,,,,
Dennd2c,Dennd2c,329727,A930010I20Rik,DENN/MADD domain containing 2C,,3_103102656_103169738,24, 0.85 ,1,-1.17,10.16998131,-0.155145256,0.48384565,-0.320650306,0.7485,0.99974,1,-1.11, 4.3 , 2.5 , 24.1 , 11.1 , 10.5 , 3.6 , 11.3 , 10.3 , 14.0 , 8.3 , 11.4 , 10.6 ,,,,,,,,
Aktip,Aktip,14339,"AL023020, Fif, Ft, Ft1, Fts",thymoma viral proto-oncogene 1 interacting protein,,8_91107639_91135494,16, 1.29 ,1,1.29,1.808262943,0.368750159,1.150131753,0.32061558,0.7485,0.99974,1,1.29, -   , -   , 8.0 , 1.2 , 1.2 , 1.8 , 3.8 , -   , 3.1 , 1.0 , -   , 1.5 ,,,,,,,,
Sar1b,Sar1b,66397,"2310075M17Rik, 2900019I22Rik, CMRD, Sara1b, Sara2, Sarb",secretion associated Ras related GTPase 1B,,11_51763663_51791953,7, 0.94 ,1,-1.06,146.9176318,-0.081304536,0.253603248,-0.320597376,0.7485,0.99974,1,-1.06, 97.4 , 146.5 , 123.9 , 175.7 , 105.9 , 206.4 , 96.6 , 108.0 , 159.0 , 187.6 , 190.0 , 166.1 ,,,,,,,,
Polr2c,Polr2c,20021,"33kDa, RPB3, Rpo2-3, mRBP31",polymerase (RNA) II (DNA directed) polypeptide C,,8_94857450_94864242,9, 0.93 ,1,-1.07,2925.599865,-0.100996121,0.315061042,-0.320560488,0.7485,0.99974,1,-1.07," 3,563.5 "," 3,045.2 "," 1,274.3 "," 3,695.0 "," 1,805.8 "," 3,554.3 "," 1,158.4 "," 2,963.5 "," 2,052.3 "," 4,339.9 "," 3,861.5 "," 3,793.5 ",,,,,,,,
A630001G21Rik,A630001G21Rik,319997,0,RIKEN cDNA A630001G21 gene,,1_85717083_85736656,7, 1.09 ,1,1.09,11.31745743,0.160594852,0.501185653,0.320429867,0.7486,0.99974,1,1.12, 7.8 , 5.1 , 20.6 , 11.1 , 8.1 , 18.0 , 13.2 , 9.7 , 21.8 , 8.3 , 1.5 , 10.6 ,,,,,,,,
Pou2f1,Pou2f1,18986,"2810482H01Rik, NF-A1, Oct-1, Oct1, Otf-1, Otf1","POU domain, class 2, transcription factor 1",,1_165865150_166002672,20, 0.80 ,1,-1.25,1.692042962,-0.359469517,1.121906042,-0.320409646,0.7487,0.99974,1,-1.28, 1.7 , 2.5 , 1.1 , 2.5 , 1.2 , -   , 1.6 , -   , -   , 2.1 , 7.6 , -   ,,,,,,,,
Anxa7,Anxa7,11750,"AI265384, AI316497, Anx7, synexin",annexin A7,,14_20455261_20480133,14, 0.95 ,1,-1.05,447.1433866,-0.071331456,0.222641095,-0.320387646,0.7487,0.99974,1,-1.05, 480.9 , 507.5 , 354.4 , 480.9 , 315.3 , 475.7 , 277.1 , 441.1 , 389.6 , 453.0 , 527.2 , 663.0 ,,,,,,,,
Rps6kb1,Rps6kb1,72508,"2610318I15Rik, 4732464A07Rik, 70kDa, AA959758, AI256796, AI314060, S6K1, p70/85s6k, p70s6k","ribosomal protein S6 kinase, polypeptide 1",,11_86499009_86544807,20, 0.87 ,1,-1.16,14.22558999,-0.147391252,0.460325243,-0.320189375,0.7488,0.99974,1,-1.11, 7.8 , 2.5 , 20.6 , 11.7 , 22.1 , 14.4 , 13.5 , 12.7 , 34.3 , 13.5 , 13.0 , 4.5 ,,,,,,,,
Ptgr1,Ptgr1,67103,"2510002C21Rik, Ltb4dh, Zadh3",prostaglandin reductase 1,,4_58965590_58987131,10, 1.04 ,1,1.04,47.22308902,0.094361728,0.294794902,0.320092808,0.7489,0.99974,1,1.07, 58.3 , 40.4 , 35.6 , 60.4 , 54.7 , 39.5 , 22.5 , 47.3 , 37.4 , 67.4 , 50.4 , 52.9 ,,,,,,,,
Med28,Med28,66999,"1500003D12Rik, AI451633, AU045690, Eg1, FKSG20, magicin",mediator complex subunit 28,,5_45520229_45529284,4, 0.94 ,1,-1.06,709.6956733,-0.082486493,0.257837471,-0.319916624,0.7490,0.99974,1,-1.06, 733.1 , 641.4 , 450.8 , 935.9 , 570.1 , 802.4 , 328.1 , 731.8 , 621.8 , 908.0 , 997.2 , 795.9 ,,,,,,,,
Sec23b,Sec23b,27054,0,"SEC23 homolog B, COPII coat complex component",,2_144556229_144590753,21, 1.13 ,1,1.13,33.59502169,0.126535921,0.39565165,0.319816487,0.7491,0.99974,1,1.09, 18.3 , 48.0 , 41.3 , 27.1 , 48.9 , 30.5 , 65.0 , 36.4 , 40.5 , 14.5 , 16.0 , 16.6 ,,,,,,,,
Lpin2,Lpin2,64898,"2610511G02Rik, AI481352, AW742896",lipin 2,,17_71183527_71249818,23, 1.06 ,1,1.06,161.1826259,0.084671363,0.264774163,0.319787106,0.7491,0.99974,1,1.06, 139.1 , 181.8 , 223.7 , 108.5 , 218.7 , 122.1 , 143.4 , 143.2 , 275.8 , 135.8 , 113.7 , 128.4 ,,,,,,,,
Tmem19,Tmem19,67226,"2810428F02Rik, AW125171",transmembrane protein 19,,10_115340739_115362524,7, 1.12 ,1,1.12,13.32670931,0.124631778,0.38979997,0.319732652,0.7492,0.99974,1,1.09, 12.2 , 20.2 , 12.6 , 14.8 , 17.5 , 7.2 , 17.3 , 6.7 , 12.5 , 12.4 , 14.5 , 12.1 ,,,,,,,,
Ip6k1,Ip6k1,27399,"1200016D08Rik, AU022776, Ihpk1, InsP6, InsP6k1, Itpk6",inositol hexaphosphate kinase 1,,9_108002648_108048782,6, 0.94 ,1,-1.06,448.683112,-0.087313666,0.273097214,-0.319716431,0.7492,0.99974,1,-1.06, 456.5 , 484.8 , 312.0 , 533.3 , 336.3 , 486.5 , 177.6 , 462.4 , 358.4 , 611.5 , 640.9 , 524.0 ,,,,,,,,
Naa10,Naa10,56292,"2310039H09Rik, Ard1, Ard1a, Te2","N(alpha)-acetyltransferase 10, NatA catalytic subunit",,X_73916870_73921944,8, 0.94 ,1,-1.07,61.426628,-0.079042943,0.247297649,-0.319626748,0.7493,0.99974,1,-1.06, 52.2 , 40.4 , 61.9 , 77.1 , 78.0 , 46.7 , 67.8 , 61.9 , 53.0 , 88.1 , 61.8 , 48.3 ,,,,,,,,
Tiam2,Tiam2,24001,"3000002F19Rik, STEF, mKIAA2016",T cell lymphoma invasion and metastasis 2,,17_3326296_3519397,36, 0.86 ,1,-1.16,5.487956628,-0.231011755,0.722851139,-0.319584133,0.7493,0.99974,1,-1.17, 0.9 , 5.1 , 3.4 , 8.6 , 3.5 , 9.0 , 11.4 , 1.8 , 10.9 , 5.2 , -   , 6.0 ,,,,,,,,
Usp14,Usp14,59025,"2610005K12Rik, 2610037B11Rik, AW107924, C78769, ax, nmf375",ubiquitin specific peptidase 14,,18_9993615_10030149,17, 1.05 ,1,1.05,74.98396433,0.077568794,0.242809759,0.319463249,0.7494,0.99974,1,1.06, 69.6 , 85.9 , 67.7 , 67.8 , 64.0 , 105.9 , 50.1 , 68.6 , 106.0 , 80.8 , 58.0 , 75.5 ,,,,,,,,
Unc5cl,Unc5cl,76589,"2510009H09Rik, BB155270, Zud",unc-5 family C-terminal like,,17_48453845_48539709,17, 0.93 ,1,-1.08,57.93541773,-0.092938587,0.290951081,-0.319430286,0.7494,0.99974,1,-1.07, 83.5 , 45.5 , 37.9 , 59.2 , 51.2 , 57.4 , 44.4 , 78.3 , 29.6 , 52.9 , 66.4 , 89.1 ,,,,,,,,
Mid1ip1,Mid1ip1,68041,"3110038L01Rik, Mig12, S14R",Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)),,X_10717365_10719702,2, 1.06 ,1,1.06,100.4183213,0.085877459,0.268995127,0.319252843,0.7495,0.99974,1,1.06, 120.9 , 90.9 , 148.0 , 61.7 , 101.2 , 96.9 , 84.8 , 68.0 , 67.0 , 90.2 , 138.1 , 137.4 ,,,,,,,,
Snap47,Snap47,67826,"1110031B06Rik, SNAP-47","synaptosomal-associated protein, 47",,11_59407141_59450034,6, 0.91 ,1,-1.10,31.77514758,-0.123621943,0.387226968,-0.319249311,0.7495,0.99974,1,-1.09, 38.3 , 40.4 , 31.0 , 45.6 , 7.0 , 19.7 , 20.3 , 40.0 , 15.6 , 49.8 , 38.9 , 34.7 ,,,,,,,,
Cdkn2c,Cdkn2c,12580,"C77269, INK4c, p18, p18-INK4c, p18-INK6, p18INK4c","cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",,4_109660876_109666756,3, 0.93 ,1,-1.07,421.0930202,-0.099534968,0.311782432,-0.319244952,0.7495,0.99974,1,-1.07, 516.5 , 580.8 , 190.4 , 502.5 , 263.0 , 385.9 , 171.9 , 422.9 , 322.6 , 556.6 , 573.8 , 566.3 ,,,,,,,,
Pard3b,Pard3b,72823,"1810008K04Rik, 2010002N16Rik, 2810455B10Rik, Als2cr19, PAR3B, PAR3L, PAR3beta",par-3 family cell polarity regulator beta,,1_61638667_62642284,25, 0.76 ,1,-1.31,0.95951099,-0.444850423,1.393456948,-0.319242316,0.7495,0.99974,1,-1.36, 0.9 , -   , 1.1 , -   , 1.2 , 1.8 , 1.2 , -   , -   , -   , 3.8 , 1.5 ,,,,,,,,
G6pdx,G6pdx,14381,"G28A, G6pd, Gpdx",glucose-6-phosphate dehydrogenase X-linked,,X_74409486_74429161,13, 1.09 ,1,1.09,63.11604775,0.101583143,0.318414982,0.319027524,0.7497,0.99974,1,1.07, 25.2 , 73.2 , 89.5 , 57.3 , 74.5 , 75.4 , 92.9 , 64.3 , 81.0 , 43.5 , 39.7 , 40.8 ,,,,,,,,
D5Ertd605e,D5Ertd605e,100039805,Gm2433,"DNA segment, Chr 5, ERATO Doi 605, expressed",,5_147418620_147423044,3, 1.16 ,1,1.16,3.639673052,0.242337673,0.759643951,0.319014813,0.7497,0.99974,1,1.18, 6.1 , 2.5 , 3.4 , 3.7 , 2.3 , 5.4 , 3.5 , 0.6 , 6.2 , -   , 8.4 , 1.5 ,,,,,,,,
Tnfrsf13c,Tnfrsf13c,72049,"2010006P15Rik, BAFF-R, Baffr, Bcmd, Bcmd-1, Bcmd1, Lvis22","tumor necrosis factor receptor superfamily, member 13c",,15_82221742_82224380,3, 1.09 ,1,1.09,6.269048222,0.19042163,0.597022731,0.318952059,0.7498,0.99974,1,1.14, 6.1 , 7.6 , 4.6 , 8.6 , 10.5 , 1.8 , 7.6 , 4.2 , 15.6 , 1.0 , 3.1 , 4.5 ,,,,,,,,
Osbpl9,Osbpl9,100273,"2600011I06Rik, AU015843, Orp-9",oxysterol binding protein-like 9,,4_109061145_109202272,32, 1.06 ,1,1.06,112.2104512,0.094612653,0.296789305,0.318787272,0.7499,0.99974,1,1.07, 87.8 , 88.4 , 156.0 , 85.1 , 169.9 , 105.9 , 121.4 , 92.8 , 207.3 , 67.4 , 72.5 , 92.1 ,,,,,,,,
Gpm6b,Gpm6b,14758,"AI593561, Gpm6, M6B",glycoprotein m6b,,X_166238943_166389033,11, 0.98 ,1,-1.02,4.077026623,-0.223999201,0.702907038,-0.318675427,0.7500,0.99974,1,-1.17, 0.9 , 2.5 , 2.3 , 2.5 , 3.5 , 12.6 , 6.4 , 5.5 , 4.7 , 2.1 , 4.6 , 1.5 ,,,,,,,,
Rnf8,Rnf8,58230,"3830404E21Rik, AIP37, laXp180",ring finger protein 8,,17_29614789_29641664,8, 1.17 ,1,1.17,5.775365422,0.204918889,0.643068714,0.318657843,0.7500,0.99974,1,1.15, 7.8 , 2.5 , 8.0 , 3.1 , 7.0 , 9.0 , 9.9 , 5.5 , 12.5 , 1.0 , 1.5 , 1.5 ,,,,,,,,
Psmg1,Psmg1,56088,"AW552102, Dscr2","proteasome (prosome, macropain) assembly chaperone 1",,16_95979935_95990903,7, 1.13 ,1,1.13,17.46270146,0.136889048,0.429604704,0.318639548,0.7500,0.99974,1,1.10, 21.7 , 25.3 , 13.8 , 20.3 , 17.5 , 12.6 , 18.9 , 6.7 , 4.7 , 21.8 , 34.3 , 12.1 ,,,,,,,,
Neurl1a,Neurl1a,18011,"2410129E16Rik, AI450910, AI481072, Neu1, Neur1, Neurl, Neurl1, Nlz, Rnf67",neuralized E3 ubiquitin protein ligase 1A,,19_47178820_47259441,7, 1.66 ,2,1.66,1.052510217,0.48358585,1.517869749,0.31859509,0.7500,0.99974,1,1.40, -   , 2.5 , 1.1 , 0.6 , -   , 3.6 , 0.2 , -   , -   , -   , 4.6 , -   ,,,,,,,,
Ephb1,Ephb1,270190,"9330129L11, AW488255, C130099E04Rik, Cek6, Elk, Elkh, Hek6, Net",Eph receptor B1,,9_101922128_102354693,16, 1.20 ,1,1.20,1.152237735,0.389366232,1.222666502,0.318456612,0.7501,0.99974,1,1.31, 0.9 , -   , -   , 3.1 , -   , 3.6 , 0.5 , 0.6 , 1.6 , 2.1 , 1.5 , -   ,,,,,,,,
Ccnb2,Ccnb2,12442,CycB2,cyclin B2,,9_70407689_70421554,9, 0.95 ,1,-1.06,270.1988806,-0.072539598,0.227826968,-0.31839777,0.7502,0.99974,1,-1.05, 250.4 , 212.1 , 212.2 , 291.6 , 263.0 , 346.5 , 195.4 , 303.4 , 341.3 , 210.4 , 214.4 , 401.7 ,,,,,,,,
Styx,Styx,56291,"0610039A20Rik, hStyxb",serine/threonine/tyrosine interaction protein,,14_45351186_45376884,11, 1.28 ,1,1.28,2.198760456,0.301129974,0.945814575,0.318381618,0.7502,0.99974,1,1.23, -   , 2.5 , 4.6 , 1.2 , 4.7 , 1.8 , 3.3 , 0.6 , 1.6 , 3.1 , -   , 3.0 ,,,,,,,,
Slk,Slk,20874,"9A2, AV021402, AW411554, Etk4, SMAK, Stk2, mKIAA0204, mSLK",STE20-like kinase,,19_47580019_47645246,20, 0.88 ,1,-1.14,7.303681555,-0.16582185,0.520872992,-0.318353712,0.7502,0.99974,1,-1.12, 5.2 , 7.6 , 8.0 , 3.1 , 8.1 , 9.0 , 6.8 , 3.0 , 10.9 , 6.2 , 6.1 , 13.6 ,,,,,,,,
Thoc5,Thoc5,107829,"1700060C24Rik, A430085L24Rik, Fmip, PK1.3, Sgk2",THO complex 5,,11_4895283_4928867,21, 0.95 ,1,-1.06,12.16817566,-0.157883554,0.496374159,-0.318073677,0.7504,0.99974,1,-1.12, 13.9 , 12.6 , 20.6 , 4.9 , 8.1 , 10.8 , 28.1 , 5.5 , 10.9 , 6.2 , 13.7 , 10.6 ,,,,,,,,
Atg2b,Atg2b,76559,"2410024A21Rik, AI047755, AI503411, AW558123, C030004M05Rik, C630028L02Rik, mKIAA4067",autophagy related 2B,,12_105613539_105685241,42, 0.84 ,1,-1.18,4.530482296,-0.194744046,0.612363684,-0.318020241,0.7505,0.99974,1,-1.14, 5.2 , 2.5 , 8.0 , 6.2 , 1.2 , 1.8 , 5.5 , 5.5 , 3.1 , 6.2 , 6.1 , 3.0 ,,,,,,,,
Tmem164,Tmem164,209497,"AI316850, AI852450, AW547186, F730011B02",transmembrane protein 164,,X_142680347_142843494,12, 1.07 ,1,1.07,67.6668996,0.084665842,0.266293363,0.317941991,0.7505,0.99974,1,1.06, 73.0 , 58.1 , 94.1 , 71.5 , 59.3 , 64.6 , 97.6 , 80.1 , 62.3 , 57.0 , 62.6 , 31.7 ,,,,,,,,
Ppwd1,Ppwd1,238831,"4632422M10Rik, A330090G21Rik",peptidylprolyl isomerase domain and WD repeat containing 1,,13_104205117_104228844,13, 0.69 ,1,-1.44,2.314451174,-0.284652602,0.896457027,-0.317530672,0.7508,0.99974,1,-1.22, 7.8 , -   , 1.1 , 1.2 , 1.2 , -   , 1.6 , 3.0 , 3.1 , 4.1 , 1.5 , 3.0 ,,,,,,,,
Mgst3,Mgst3,66447,"2010012L10Rik, 2010306B17Rik, 2700004G04Rik, AA516734, GST-III",microsomal glutathione S-transferase 3,,1_167372384_167393797,6, 0.94 ,1,-1.06,2163.855515,-0.088731299,0.280089831,-0.316795859,0.7514,0.99974,1,-1.06," 2,697.4 "," 2,636.2 "," 1,439.5 "," 2,450.2 "," 1,258.9 "," 2,100.3 ", 974.7 ," 1,890.7 "," 1,728.2 "," 2,815.2 "," 2,847.5 "," 3,127.5 ",,,,,,,,
Mcm6,Mcm6,17219,"ASP-l1, D1Wsu22e, Mcmd6",minichromosome maintenance complex component 6,,1_128331575_128359705,16, 1.10 ,1,1.10,46.75511763,0.129751138,0.409602008,0.316773685,0.7514,0.99974,1,1.09, 35.7 , 30.3 , 94.1 , 17.9 , 69.8 , 46.7 , 90.2 , 34.0 , 59.2 , 28.0 , 20.6 , 34.7 ,,,,,,,,
Lair1,Lair1,52855,"5133400O11Rik, BB115266, D7Bwg0421e, Lair-1",leukocyte-associated Ig-like receptor 1,,7_4007073_4073507,12, 1.06 ,1,1.06,96.52540052,0.083347789,0.263284953,0.316568752,0.7516,0.99974,1,1.06, 48.7 , 70.7 , 113.6 , 115.9 , 125.7 , 122.1 , 120.5 , 94.1 , 98.2 , 107.8 , 70.2 , 71.0 ,,,,,,,,
Minos1,Minos1,433771,2310028O11Rik,mitochondrial inner membrane organizing system 1,,4_139101814_139131113,4, 0.94 ,1,-1.07,595.6145351,-0.094753774,0.29944067,-0.316435887,0.7517,0.99974,1,-1.07, 775.7 , 535.3 , 356.7 , 787.3 , 349.1 , 649.8 , 251.1 , 683.8 , 405.2 , 894.5 , 732.5 , 726.4 ,,,,,,,,
A230051G13Rik,A230051G13Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.91 ,1,-1.09,33.13384242,-0.098959104,0.312738723,-0.316427411,0.7517,0.99974,1,-1.07, 49.6 , 25.3 , 25.2 , 30.2 , 25.6 , 34.1 , 19.9 , 33.4 , 32.7 , 34.2 , 54.2 , 33.2 ,,,,,,,,
Pglyrp2,Pglyrp2,57757,"C730002N09Rik, PGRP-L, Pglyrpl, tagL",peptidoglycan recognition protein 2,,17_32412459_32424183,6, 0.91 ,1,-1.10,3.813268747,-0.283932111,0.89742811,-0.31638424,0.7517,0.99974,1,-1.22, 1.7 , 2.5 , 8.0 , 1.2 , 4.7 , 3.6 , 12.5 , 4.2 , -   , 7.3 , -   , -   ,,,,,,,,
Mapkapk2,Mapkapk2,17164,"AA960234, MAPKAP-K2, MK-2, MK2, Rps6kc1",MAP kinase-activated protein kinase 2,,1_131053700_131097843,10, 1.05 ,1,1.05,397.3617116,0.066739688,0.210974474,0.316340107,0.7517,0.99974,1,1.05, 371.3 , 340.9 , 469.1 , 363.1 , 516.6 , 380.6 , 556.8 , 453.3 , 403.6 , 292.3 , 296.0 , 324.7 ,,,,,,,,
2310047M10Rik,2310047M10Rik,0,#N/A,#N/A,,#N/A,#N/A, 0.87 ,1,-1.14,13.26983011,-0.135414846,0.428343549,-0.316136069,0.7519,0.99974,1,-1.10, 13.0 , -   , 10.3 , 20.3 , 19.8 , 10.8 , 16.3 , 17.0 , 6.2 , 16.6 , 16.8 , 12.1 ,,,,,,,,
Gmcl1,Gmcl1,23885,"2810049L19Rik, Btbd13, DIP, Gcl, Gcl-1, glc-1, mglc-1","germ cell-less, spermatogenesis associated 1",,6_86691768_86733399,15, 0.97 ,1,-1.03,3.521448872,-0.251033346,0.794338698,-0.316028096,0.7520,0.99974,1,-1.19, 0.9 , 10.1 , 3.4 , -   , 4.7 , 1.8 , 1.9 , 4.9 , 4.7 , 3.1 , 5.3 , 1.5 ,,,,,,,,
Cap1,Cap1,12331,0,"CAP, adenylate cyclase-associated protein 1 (yeast)",,4_122859048_122886071,13, 1.15 ,1,1.15,19.88281165,0.179369304,0.568263345,0.315644684,0.7523,0.99974,1,1.13, 4.3 , 15.2 , 51.6 , 14.8 , 29.1 , 12.6 , 44.2 , 12.7 , 32.7 , 3.1 , 10.7 , 7.6 ,,,,,,,,
Ints12,Ints12,71793,"1110020M19Rik, 2810027J24Rik, 4930529N21Rik, A230056J18Rik, AI666778, Phf22, int12",integrator complex subunit 12,,3_133091855_133110988,7, 0.93 ,1,-1.08,6.647949057,-0.22976371,0.72829511,-0.315481605,0.7524,0.99974,1,-1.17, 3.5 , 7.6 , 10.3 , 0.6 , 12.8 , 3.6 , 15.4 , 13.3 , 6.2 , 1.0 , 5.3 , -   ,,,,,,,,
Mettl7a1,Mettl7a1,70152,"2210414H16Rik, 3300001H21Rik, Aam-B, Mettl7a, UbiE1",methyltransferase like 7A1,,15_100304145_100328665,5, 1.03 ,1,1.03,101.7609752,0.073863866,0.234162855,0.315438015,0.7524,0.99974,1,1.05, 142.6 , 90.9 , 126.2 , 96.2 , 89.6 , 75.4 , 67.8 , 98.3 , 126.2 , 121.3 , 90.0 , 96.6 ,,,,,,,,
5430437J10Rik,5430437J10Rik,71432,0,RIKEN cDNA 5430437J10 gene,,15_5496318_5594983,5, 0.79 ,1,-1.26,4.658351751,-0.198277626,0.629093852,-0.315179724,0.7526,0.99974,1,-1.15, 4.3 , 2.5 , 5.7 , 6.2 , 2.3 , 3.6 , 4.9 , 4.2 , 3.1 , 3.1 , 2.3 , 13.6 ,,,,,,,,
Get4,Get4,67604,"1110007L15Rik, AW412535, Cee",golgi to ER traffic protein 4,,5_139251583_139270051,10, 0.93 ,1,-1.08,57.21154689,-0.086578309,0.274758125,-0.315107367,0.7527,0.99974,1,-1.06, 89.6 , 50.5 , 44.7 , 68.4 , 39.6 , 37.7 , 59.1 , 60.7 , 42.1 , 81.9 , 50.4 , 61.9 ,,,,,,,,
Mier3,Mier3,218613,"5730509D14, AU015422, D130064H19Rik",MIER family member 3,,13_111686157_111718596,14, 1.04 ,1,1.04,20.46202876,0.11320349,0.359279992,0.315084315,0.7527,0.99974,1,1.08, 29.6 , 10.1 , 14.9 , 24.7 , 11.6 , 34.1 , 16.8 , 20.0 , 26.5 , 15.5 , 14.5 , 27.2 ,,,,,,,,
Nup43,Nup43,69912,"2610016K01Rik, 2610529I12Rik, AA409950, p42",nucleoporin 43,,10_7667504_7678886,8, 0.90 ,1,-1.11,13.87485372,-0.149739855,0.475575767,-0.314860144,0.7529,0.99974,1,-1.11, 15.7 , 20.2 , 4.6 , 23.4 , 11.6 , 3.6 , 11.3 , 17.6 , 4.7 , 16.6 , 26.7 , 10.6 ,,,,,,,,
Cyhr1,Cyhr1,54151,"1110031M01Rik, AU042374, Chrp",cysteine and histidine rich 1,,15_76643395_76660208,9, 0.93 ,1,-1.07,108.7071997,-0.074214339,0.235729744,-0.314828065,0.7529,0.99974,1,-1.05, 108.7 , 58.1 , 103.2 , 128.9 , 96.6 , 134.6 , 74.4 , 137.7 , 132.5 , 106.8 , 103.8 , 119.3 ,,,,,,,,
Ndufa4,Ndufa4,17992,MLRQ,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4",,6_11900373_11907446,4, 0.94 ,1,-1.07,3721.371822,-0.092849909,0.294948059,-0.314800882,0.7529,0.99974,1,-1.07," 3,958.3 "," 3,888.6 "," 2,253.9 "," 5,011.3 "," 2,448.0 "," 4,047.9 "," 1,410.2 "," 3,605.5 "," 2,700.6 "," 5,421.0 "," 5,175.3 "," 4,735.8 ",,,,,,,,
Cenpa,Cenpa,12615,Cenp-A,centromere protein A,,5_30666886_30674837,8, 1.06 ,1,1.06,123.3860253,0.089044655,0.282919428,0.314735031,0.7530,0.99974,1,1.06, 130.4 , 156.6 , 72.3 , 156.6 , 90.8 , 156.2 , 58.3 , 122.6 , 88.8 , 131.6 , 162.5 , 154.0 ,,,,,,,,
Abcd2,Abcd2,26874,"ABC39, ALDL1, ALDR, ALDRP","ATP-binding cassette, sub-family D (ALD), member 2",,15_91145675_91192504,10, 0.93 ,1,-1.07,1.849403005,-0.314361254,0.999696914,-0.314456561,0.7532,0.99974,1,-1.24, 1.7 , 2.5 , 1.1 , -   , 3.5 , 1.8 , 3.8 , 1.2 , 1.6 , 4.1 , 0.8 , -   ,,,,,,,,
Cd47,Cd47,16423,"9130415E20Rik, AA407862, AI848868, AW108519, B430305P08Rik, IAP, Itgp","CD47 antigen (Rh-related antigen, integrin-associated signal transducer)",,16_49855253_49912424,14, 0.94 ,1,-1.06,7052.475484,-0.084989822,0.270280992,-0.314449868,0.7532,0.99974,1,-1.06," 8,178.4 "," 7,625.7 "," 4,554.8 "," 8,311.7 "," 4,693.6 "," 7,702.7 "," 2,946.4 "," 6,785.0 "," 5,932.6 "," 9,297.5 "," 9,537.3 "," 9,063.9 ",,,,,,,,
Eci1,Eci1,13177,"Dci, eci",enoyl-Coenzyme A delta isomerase 1,,17_24426683_24439316,7, 0.94 ,1,-1.06,57.55951984,-0.087809962,0.279306116,-0.314386106,0.7532,0.99974,1,-1.06, 85.2 , 55.6 , 29.8 , 66.6 , 41.9 , 55.6 , 53.4 , 86.8 , 54.5 , 54.9 , 61.0 , 45.3 ,,,,,,,,
St13,St13,70356,"1110007I03Rik, 3110002K08Rik, AW555194, HIP, HOP, HSPABP, HSPABP1, PRO0786, SNC6, p48",suppression of tumorigenicity 13,,15_81365044_81399694,12, 1.17 ,1,1.17,11.38404771,0.187080539,0.595115319,0.314360147,0.7532,0.99974,1,1.14, 8.7 , 7.6 , 28.7 , 1.8 , 23.3 , 3.6 , 17.0 , 16.4 , 6.2 , 2.1 , 12.2 , 9.1 ,,,,,,,,
Ncr1,Ncr1,17086,"Ly94, NKp46",natural cytotoxicity triggering receptor 1,,7_4337678_4345164,7, 0.94 ,1,-1.06,14.10094688,-0.167825876,0.533903478,-0.314337484,0.7533,0.99974,1,-1.12, 16.5 , 12.6 , 8.0 , 8.6 , 5.8 , 30.5 , 29.8 , 12.7 , 4.7 , 26.9 , 3.8 , 9.1 ,,,,,,,,
Sdcbp2,Sdcbp2,228765,0,syndecan binding protein (syntenin) 2,,2_151572609_151590005,11, 0.90 ,1,-1.11,8.950683052,-0.163509681,0.520292728,-0.314264782,0.7533,0.99974,1,-1.12, 6.1 , 2.5 , 8.0 , 14.2 , 5.8 , 14.4 , 12.8 , 7.9 , 3.1 , 5.2 , 19.8 , 7.6 ,,,,,,,,
